Rijeci,Leme
službi,služba
i,i
i,i
best,best
generaliziram,generalizirati
svira,svirati
to,taj
uvijek,uvijek
omogućeno,omogućiti
te,te
je,biti
ludila,ludilo
udaljenosti,udaljenost
početku,početak
kojeg,koji
10,10
koje,koji
je,biti
trećine,trećina
oblika,oblik
vama,vi
i,i
na,na
studenti,student
zapovjednika,zapovjednik
društvena,društven
organizaciji,organizacija
u,u
pogotovo,pogotovo
termin,termin
energetska,energetski
75,75
sport,sport
osnovana,osnovati
masnoće,masnoća
a,a
više,mnogo
nadbiskupije,nadbiskupija
znanstvenoj,znanstven
od,od
pojavu,pojava
dana,dan
su,biti
13,13
je,biti
premijeru,premijer
kože,koža
i,i
što,što
neki,neki
i,i
aktivan,aktivan
da,da
kn,kn
mijenjali,mijenjati
za,za
volje,volja
i,i
vježba,vježba
protiv,protiv
vremena,vrijeme
ostajem,ostajati
koncerta,koncert
samog,sam
slike,slika
funkcionira,funkcionirati
imenom,ime
nadam,nadati
vrlo,vrlo
je,biti
visoku,visok
se,sebe
je,biti
i,i
krijumčarenja,krijumčarenje
tijekom,tijekom
je,biti
1966,1966
te,te
da,da
da,da
je,biti
koja,koji
je,biti
još,još
tvrtkama,tvrtka
zbunjeni,zbunjen
kupe,kupiti
i,i
gotovo,gotovo
mlađu,mlad
117,117
blagoslovom,blagoslov
za,za
njima,oni
koji,koji
usnama,usna
mamić,mamić
se,sebe
prodaju,prodati
bih,bih
sv,sv
crno,crn
djeca,djeca
jedan,jedan
o,o
hmmm,hmmm
imaju,imati
u,u
it,it
ja,ja
ekranom,ekran
u,u
je,biti
da,da
ostalim,ostali
pokazujući,pokazivati
i,i
i,i
njegov,njegov
našeg,naš
početni,početan
u,u
donio,donijeti
era,era
u,u
u,u
po,po
srbiji,srbija
jesam,biti
youtubecom,youtubecom
da,da
još,još
povećanje,povećanje
1,1
služe,služiti
ima,imati
tome,taj
36,36
inspiracije,inspiracija
u,u
kad,kad
može,moći
po,po
baviti,baviti
a,a
kud,kuda
se,sebe
koji,koji
od,od
islamski,islamski
više,mnogo
je,biti
i,i
granice,granica
svi,sav
mezopotamski,mezopotamski
će,htjeti
da,da
npr,npr
vrijednost,vrijednost
wp8,wp8
km,km
pozornosti,pozornost
bez,bez
vlakova,vlak
ulaganja,ulaganje
da,da
njima,oni
zato,zato
ratificirati,ratificirati
kroz,kroz
server,server
tamo,tamo
rekli,reći
da,da
malena,malen
nadvladamo,nadvladati
dobivenih,dobiti
u,u
za,za
i,i
posljedica,posljedica
način,način
rijetkih,rijedak
kako,kako
povećana,povećati
napredovanja,napredovanje
sve,sve
su,biti
recimo,reći
grupa,grupa
preuzet,preuzeti
kojom,koji
javljamo,javljati
na,na
je,biti
event,event
ne,ne
a,a
ministarstvu,ministarstvo
dojam,dojam
je,biti
sa,sa
više,mnogo
nalaze,nalaz
izborima,izbor
dobra,dobar
mnogo,mnogo
sukoba,sukob
je,biti
kulture,kultura
muškarac,muškarac
četvrtoj,četvrti
bogati,bogati
o,o
to,taj
bestu,best
zajednici,zajednica
se,sebe
ali,ali
ću,htjeti
se,sebe
brži,brz
osim,osim
kemal,kemal
riječi,riječ
će,htjeti
lorenzo,lorenzo
is,is
sam,biti
mogla,moći
gdje,gdje
tekstualnim,tekstualan
emir,emir
periodu,period
zaposlenih,zaposlen
snagu,snaga
kako,kako
obitelji,obitelj
novom,nov
avaz,avaz
je,biti
nekoliko,nekoliko
aquarius,aquarius
da,da
godine,godina
ćemo,htjeti
za,za
u,u
radio,radio
u,u
tek,tek
je,biti
sudove,sud
s,sa
album,album
usluge,usluga
spominjanjem,spominjanje
oči,oko
rano,rano
nemaš,nemati
bivšem,bivši
u,u
preuzeti,preuzeti
govoreći,govoriti
zadnjih,zadnji
se,sebe
određeno,odrediti
da,da
ostavke,ostavka
i,i
od,od
no,no
mi,ja
u,u
godina,godina
osobe,osoba
gospođu,gospođa
za,za
opet,opet
se,sebe
agencija,agencija
život,život
01,01
na,na
probati,probati
po,po
vjerojatno,vjerojatno
eu,eu
malo,malo
koja,koji
na,na
od,od
umirovljenicima,umirovljenik
hrvatskom,hrvatski
savjestan,savjestan
godina,godina
čovjek,čovjek
čime,što
pomozi,pomoći
sohra,sohr
lokalnom,lokalan
u,u
drugi,drugi
itd,itd
kandidata,kandidat
a,a
dosegnuti,dosegnuti
se,sebe
bi,biti
specijalno,specijalan
deficit,deficit
volim,voljeti
dobro,dobro
svoju,svoj
potpis,potpis
koja,koji
da,da
penzioneri,penzioner
ovom,ovaj
c,c
manje,malo
burzama,burza
će,htjeti
je,biti
terete,teretiti
a,a
netko,netko
ne,ne
mogu,moći
srbijanskom,srbijanski
još,još
neka,neki
oblika,oblik
je,biti
sva,sav
elegantnog,elegantan
no,no
svoj,svoj
bez,bez
naš,naš
respektabilnu,respektabilan
da,da
su,biti
da,da
mu,on
nitko,nitko
predostrožnosti,predostrožnost
mjestima,mjesto
gunđate,gunđati
osu,os
i,i
želite,željeti
sitnice,sitnica
doktorskim,doktorski
prezime,prezime
the,the
remixeva,remix
kultura,kultura
najboljih,dobar
malo,malo
antonio,antonio
vjerni,vjeran
uopće,uopće
izjave,izjava
tiskovnoj,tiskovni
platformi,platforma
sad,sad
ponašanja,ponašanje
kako,kako
predstavio,predstaviti
i,i
u,u
štiti,štititi
da,da
i,i
stihove,stih
da,da
da,da
ja,ja
iz,iz
su,biti
da,da
snažna,snažan
brodove,brod
oko,oko
banka,banka
da,da
zajednički,zajednički
volimo,voljeti
kemijski,kemijski
podršku,podrška
i,i
najčešće,često
ovo,ovaj
sigurnost,sigurnost
mu,on
računala,računalo
drugo,drugi
za,za
očekuje,očekivati
gledao,gledati
te,te
su,biti
na,na
muškarci,muškarac
vrsta,vrsta
od,od
već,već
posljednja,posljednji
i,i
novac,novac
bi,biti
se,sebe
koža,koža
poslovnoj,poslovan
sreće,sreća
zanimljive,zanimljiv
te,taj
tjedna,tjedan
u,u
trajat,trajati
savezne,savezni
reći,reći
roku,rok
vas,vi
to,taj
upotrebljavana,upotrebljavati
bodova,bod
i,i
kosovo,kosovo
ne,ne
je,biti
jednog,jedan
ilegalnog,ilegalan
je,biti
on,on
drugu,drugi
zaštitili,zaštititi
za,za
r,r
odstranim,odstraniti
gol,gol
primjer,primjer
kafanski,kafanski
uvijek,uvijek
bi,biti
beta,beta
mogu,moći
sam,biti
masaže,masaža
u,u
vrijedne,vrijedan
najuglednijih,ugledan
sporiji,spor
će,htjeti
članaka,članak
proizvod,proizvod
rješenje,rješenje
je,biti
izvršnoj,izvršan
ali,ali
finale,finale
una,un
pri,pri
se,sebe
da,da
klimatskih,klimatski
dalje,daleko
njih,oni
zatvora,zatvor
je,biti
to,taj
sva,sav
radu,radu
se,sebe
optimus,optimus
tako,tako
pri,pri
na,na
odlučio,odlučiti
dakle,dakle
voditeljica,voditeljica
bez,bez
gradskoj,gradski
za,za
u,u
života,život
nikome,nitko
takvom,takav
ukupne,ukupan
grčkih,grčki
propuštaju,propuštati
prilično,prilično
ako,ako
voyageru,voyager
privatizaciju,privatizacija
napravio,napraviti
makedoniji,makedonija
čiji,čiji
djelu,djelo
sam,biti
pokraj,pokraj
liječenje,liječenje
da,da
vrlo,vrlo
to,taj
sud,sud
im,oni
sdsm,sdsm
drveća,drveće
godina,godina
u,u
dobri,dobar
među,među
s,sa
dogodio,dogoditi
važan,važan
zbog,zbog
je,biti
ležao,ležati
mnogi,mnogi
je,biti
o,o
proglašavan,proglašavati
koje,koji
se,sebe
rijetka,rijedak
i,i
dvije,dva
turskoj,turska
večeri,večer
mala,mali
sud,sud
štedionica,štedionica
na,na
drugi,drugi
proaktivnu,proaktivan
iz,iz
truda,trud
japanu,japan
imaju,imati
među,među
ljubav,ljubav
nego,nego
puta,put
dok,dok
kao,kao
rasprava,rasprava
npr,npr
npr,npr
izazivao,izazivati
što,što
a,a
usmjereni,usmjeriti
otoka,otok
iskoristio,iskoristiti
brzine,brzina
je,on
nije,biti
autorskih,autorski
one,onaj
od,od
srpnja,srpanj
koji,koji
umjetnosti,umjetnost
i,i
plaćen,platiti
kažu,kazati
najavljuju,najavljivati
koje,koji
izgubiti,izgubiti
u,u
dodatnih,dodatan
grad,grad
u,u
zbog,zbog
rephr,rephr
pa,pa
principu,princip
mi,ja
može,moći
ovome,ovaj
grbom,grb
o,o
magnat,magnat
je,biti
u,u
će,htjeti
pazaru,pazar
poboljšati,poboljšati
pogled,pogled
nismo,biti
visi,visiti
otvoren,otvoriti
suradnica,suradnica
se,sebe
izazvalo,izazvati
su,biti
svima,sav
poteškoće,poteškoća
rekreaciju,rekreacija
osjetljivija,osjetljiv
najdramatičnijih,dramatičan
npr,npr
krađe,krađa
u,u
požara,požar
brojke,brojka
druge,drugi
o,o
nježno,nježno
si,biti
nacionalnu,nacionalan
odmah,odmah
poziva,pozivati
hdz,hdz
uostalom,uostalom
naše,naš
review,review
20,20
albuma,album
ne,ne
kojih,koji
naponom,napon
glazbenim,glazben
na,na
su,biti
shvaćati,shvaćati
kojim,koji
već,već
jačati,jačati
škole,škola
tirani,tirana
nokia,nokia
jedna,jedan
rezultirao,rezultirati
pokazuje,pokazivati
izaberite,izabrati
vezi,veza
i,i
pristanak,pristanak
dobit,dobiti
provođenjem,provođenje
protukandidat,protukandidat
akademik,akademik
razgovor,razgovor
ovisit,ovisiti
od,od
mi,ja
pisao,pisati
upućuje,upućivati
u,u
kosu,kosa
biblije,biblija
i,i
zagrebu,zagreb
na,na
zapravo,zapravo
to,taj
koji,koji
ne,ne
toga,taj
gs,gs
zadnja,zadnji
zdravo,zdrav
bošković,bošković
na,na
godine,godina
su,biti
je,biti
kuću,kuća
ne,ne
masu,masa
gazda,gazda
klaus,klaus
nakon,nakon
aspekte,aspekt
na,na
koji,koji
sa,sa
modeli,model
globalne,globalan
nama,mi
je,biti
on,on
hraniti,hraniti
smislu,smisao
ekipa,ekipa
to,taj
spreman,spreman
iz,iz
regiju,regija
morate,morati
tanak,tanak
nudi,nuditi
kompatibilnosti,kompatibilnost
premijerom,premijer
nego,nego
alternativne,alternativan
tu,taj
nakon,nakon
da,da
može,moći
ovcama,ovca
ne,ne
ovjesa,ovjes
koliko,koliko
okusu,okus
najbolji,dobar
se,sebe
još,još
nekom,neki
koji,koji
borbi,borba
inače,inače
su,biti
putni,putni
u,u
industrija,industrija
ogrjevnog,ogrjevni
procesa,proces
strane,stran
studentskog,studentski
mora,morati
nastup,nastup
možete,moći
je,biti
odluči,odlučiti
ustanovljenjem,ustanovljenje
ne,ne
s,sa
nastao,nastao
prema,prema
zahtjevan,zahtjevan
često,često
treba,trebati
počinje,počinjati
kacigu,kaciga
tri,tri
cilj,cilj
to,taj
se,sebe
mamice,mamica
sharon,sharon
predstavnici,predstavnik
operaciju,operacija
nesreći,nesreća
sakralni,sakralan
i,i
odvući,odvući
ideje,ideja
znam,znati
soulu,soul
svjetlosti,svjetlost
devet,devet
u,u
sati,sat
pročitaj,pročitati
recesije,recesija
znati,znati
trgu,trg
negativnu,negativan
19,19
s,sa
će,htjeti
jackson,jackson
se,sebe
spojim,spojiti
postoje,postojati
društvenog,društven
godina,godina
muzeju,muzej
ako,ako
pa,pa
koncentrirani,koncentrirati
gubitka,gubitak
ima,imati
obitelji,obitelj
bit,biti
izgled,izgled
nastavi,nastava
će,htjeti
u,u
i,i
oblik,oblik
i,i
građane,građanin
izvan,izvan
kod,kod
pričaju,pričati
osigurala,osigurati
tako,tako
taj,taj
statusa,status
krize,kriza
nitko,nitko
vezi,veza
system,system
na,na
se,sebe
pokazali,pokazati
izmiru,izmir
neslužbene,neslužben
programeri,programer
doživjeli,doživjeti
njegov,njegov
kanade,kanada
jer,jer
dokazi,dokaz
kanala,kanal
otići,otići
hranu,hrana
titu,tito
iz,iz
u,u
sjedištem,sjedište
nije,biti
nezaštićeni,nezaštićen
dalje,daleko
išta,išta
novac,novac
četvrti,četvrti
tada,tada
pretočih,pretočiti
a,a
znam,znati
u,u
njegovi,njegov
i,i
nitko,nitko
u,u
među,među
putem,put
dodaju,dodati
su,biti
u,u
osumnjičenika,osumnjičenik
napokon,napokon
rephr,rephr
u,u
sami,sam
koja,koji
na,na
kako,kako
iv,iv
internet,internet
nadamo,nadati
svega,sav
rješavanja,rješavanje
ubacivši,ubaciti
opernom,operni
nitko,nitko
ne,ne
škole,škola
blot,blot
kako,kako
pojavi,pojaviti
a,a
opcije,opcija
socijalne,socijalan
udjelom,udio
milijuna,milijun
su,biti
zbog,zbog
ovaj,ovaj
pas,pas
se,sebe
udara,udar
pitati,pitati
prijetnja,prijetnja
6,6
i,i
ruke,ruka
činjenica,činjenica
u,u
godine,godina
biti,biti
iz,iz
na,na
gostima,gost
isprobati,isprobati
fagotist,fagotist
sviraš,svirati
divili,diviti
stupnjeva,stupanj
pitanje,pitanje
makedonija,makedonija
logorsko,logorski
omogućavanju,omogućavanje
požar,požar
istaknuti,istaknuti
centra,centar
na,na
mogu,moći
i,i
teško,teško
podu,pod
se,sebe
prljavština,prljavština
projekcija,projekcija
godine,godina
razloga,razlog
uzimati,uzimati
financija,financije
ja,ja
žanrova,žanr
sustav,sustav
nekoliko,nekoliko
je,biti
smiješne,smiješan
nastupiti,nastupiti
sazdana,sazdati
tirana,tirana
podrazumijeva,podrazumijevati
visi,visiti
za,za
izdržati,izdržati
o,o
o,o
je,biti
ukoliko,ukoliko
milijuna,milijun
to,to
zaklade,zaklada
vrijednosti,vrijednost
pjesama,pjesma
na,na
poglede,pogled
kad,kad
dojam,dojam
480,480
eto,eto
je,biti
u,u
itunesu,itunes
tri,tri
kao,kao
rekorder,rekorder
zabranjeno,zabraniti
im,oni
zasnovala,zasnovati
rokova,rok
izvješće,izvješće
za,za
sobi,soba
ne,ne
riccardo,riccardo
društvena,društven
libanonu,libanon
i,i
gladni,gladan
to,taj
najtalentiraniji,talentiran
tisuća,tisuća
svoju,svoj
je,biti
je,biti
birališta,biralište
način,način
ne,ne
su,biti
koji,koji
je,biti
ostali,ostali
i,i
ovoj,ovaj
geni,gen
opuštanja,opuštanje
za,za
na,na
god,god
one,onaj
za,za
temperatura,temperatura
radile,raditi
publike,publika
soc,soc
na,na
smatram,smatrati
broju,broj
svoju,svoj
ne,ne
između,između
pojmova,pojam
još,još
jacksonu,jackson
međusobno,međusobno
uzeti,uzeti
stvrdne,stvrdnuti
sada,sada
republike,republika
zbog,zbog
vojvodini,vojvodina
ima,imati
više,mnogo
je,biti
odvija,odvijati
od,od
dužnost,dužnost
bi,biti
nikada,nikada
bago,bago
iznosi,iznositi
na,na
odlučiti,odlučiti
the,the
oštro,oštro
drugih,drugi
je,biti
m2,m2
se,sebe
15,15
normalna,normalan
lokal,lokal
skupštine,skupština
još,još
nepotpune,nepotpun
je,biti
suicida,suicid
prijatelja,prijatelj
liječenja,liječenje
bih,biti
po,po
godine,godina
doktor,doktor
krugova,krug
akni,akna
čemu,što
ima,imati
milijuna,milijun
18,18
je,biti
naučili,naučiti
kupuje,kupovati
travnja,travanj
i,i
sam,biti
bi,biti
zaista,zaista
ova,ovaj
aktivnosti,aktivnost
samo,samo
jednostavne,jednostavan
osobe,osoba
premijerom,premijer
ih,oni
biljaka,biljka
strogo,strogo
prihoda,prihod
jedna,jedan
jedan,jedan
s,sa
izlazi,izlaziti
prethodnih,prethodan
središtu,središte
u,u
odluka,odluka
za,za
kristovu,kristov
svojoj,svoj
na,na
konačno,konačno
za,za
je,biti
on,on
izračunu,izračun
e,e
pusti,pustiti
prema,prema
koji,koji
kalendar,kalendar
lijek,lijek
mlađoj,mlad
za,za
kuću,kuća
za,za
android,android
takvo,takav
koraljnom,koraljni
špekulira,špekulirati
informatičke,informatički
uvjeta,uvjet
skupe,skup
može,moći
ispušna,ispušan
mjesec,mjesec
živite,živjeti
polagano,polagano
worldcope,worldcope
osim,osim
realizira,realizirati
a,a
šah,šah
odgovor,odgovor
listi,list
ne,ne
i,i
koja,koji
svačega,svašta
18,18
i,i
svjestan,svjestan
dvojica,dvojica
jedan,jedan
obrate,obratiti
vrijeme,vrijeme
dr,dr
kupovina,kupovina
njegov,njegov
obveze,obveza
dok,dok
suočite,suočiti
prava,pravo
uz,uz
interes,interes
nositelji,nositelj
drugi,drugi
će,htjeti
drugi,drugi
zemljama,zemlja
belgija,belgija
on,on
bilo,biti
prije,prije
klasičnog,klasičan
istaknuto,istaknuti
se,sebe
mi,mi
hrvatski,hrvatski
moliti,moliti
međutim,međutim
svjetlo,svjetlo
momke,momak
kristovu,kristov
češće,čest
im,oni
s,sa
čula,čuti
sa,sa
filozofskom,filozofski
hibrida,hibrid
procese,proces
gonga,gong
većom,velik
tiče,ticati
pobijedi,pobijediti
stranu,strana
članaka,članak
1,1
razdoblja,razdoblje
smatrali,smatrati
časopisu,časopis
kako,kako
ili,ili
znatno,znatno
se,sebe
duo,duo
koji,koji
da,da
više,mnogo
azijskih,azijski
moguće,moguć
to,taj
bili,biti
u,u
nju,on
za,za
posao,posao
50,50
važni,važan
otopio,otopiti
čemu,što
nagoditi,nagoditi
bio,biti
i,i
parlamentu,parlament
kako,kako
trenutno,trenutno
rada,rad
jer,jer
kovan,kovati
bilo,biti
uglu,ugao
londonu,london
u,u
njihova,njihov
gastro,gastro
kapaciteta,kapacitet
na,na
koji,koji
da,da
za,za
backgammon,backgammon
klimi,klima
modernog,moderan
i,i
da,da
isklesao,isklesati
duge,dug
njima,oni
sve,sav
stvarno,stvarno
važnom,važan
raspravljaju,raspravljati
koraka,korak
brojne,brojan
kredit,kredit
zakon,zakon
podatkovna,podatkovni
imati,imati
2000,2000
i,i
globalnog,globalan
osjeća,osjećati
kako,kako
imate,imati
je,biti
kuće,kuća
gdje,gdje
i,i
i,i
prostorijama,prostorija
sinaja,sinaj
svoju,svoj
dolazi,dolaziti
ispitne,ispitan
i,i
slično,sličan
prema,prema
što,što
i,i
tužitelj,tužitelj
boja,boja
u,u
novog,nov
oni,onaj
dylana,dylan
i,i
mikulić,mikulić
o,o
ti,taj
nisam,biti
40godišnji,40godišnji
običnim,običan
kanala,kanal
globalnim,globalan
građaninu,građanin
se,sebe
svjedocima,svjedok
sa,sa
kao,kao
tri,tri
blue,blue
rijetko,rijetko
ja,ja
pitanja,pitanje
usuđujem,usuđivati
svim,sav
uključuju,uključivati
osvojila,osvojiti
zadovoljni,zadovoljan
na,na
u,u
je,biti
izostanke,izostanak
za,za
početkom,početkom
nadimak,nadimak
ispred,ispred
izjavio,izjaviti
koju,koji
jako,jako
potaknuti,potaknuti
u,u
ma,ma
bi,biti
ukoliko,ukoliko
ludilo,ludilo
balkana,balkan
vrlo,vrlo
sustav,sustav
m,m
nakon,nakon
poslije,poslije
se,sebe
očito,očit
i,i
šest,šest
kuna,kuna
bog,bog
sindikata,sindikat
trening,trening
natjeram,natjerati
sustavu,sustav
pod,pod
nešto,nešto
očima,oko
u,u
lidija,lidija
se,sebe
a,a
antraciklini,antraciklin
uopće,uopće
brojeve,broj
da,da
njegovu,njegov
koji,koji
ili,ili
u,u
svim,sav
parade,parada
rastužim,rastužiti
pripremi,priprema
možda,možda
probleme,problem
u,u
100,100
najvećih,velik
će,htjeti
za,za
se,sebe
poraz,poraz
fakultetskih,fakultetski
te,te
da,da
moguć,moguć
razumjeli,razumjeti
nova,nov
kontakte,kontakt
sound,sound
izjavio,izjaviti
imati,imati
godinu,godina
budimo,buditi
taj,taj
i,i
da,da
ne,ne
ljeto,ljeto
usvojiti,usvojiti
poslova,posao
da,da
koliko,koliko
usta,usta
manje,malo
posla,posao
vuku,vuk
je,biti
i,i
dizajnera,dizajner
bagatina,bagatina
vrši,vršiti
21,21
represivnim,represivan
natječaj,natječaj
podršku,podrška
kočenja,kočenje
jezik,jezik
rezultat,rezultat
srbiji,srbija
je,biti
a,a
u,u
applea,apple
u,u
eu,eu
kutli,kutle
eura,euro
okružen,okružiti
po,po
o,o
nekoliko,nekoliko
lijekova,lijek
da,da
dakle,dakle
znali,znati
l360,l360
popiti,popiti
kod,kod
antioksidansima,antioksidans
vam,vi
nismo,biti
prijetnje,prijetnja
bila,biti
u,u
s,sa
medija,medij
odličja,odličje
očni,očni
je,biti
razdoblju,razdoblje
napisala,napisati
vetvendosju,vetvendosje
u,u
dva,dva
11,11
za,za
i,i
opet,opet
na,na
zaključuje,zaključivati
za,za
ja,ja
vrlo,vrlo
i,i
muškarac,muškarac
nalaze,nalaziti
73,73
zbog,zbog
ovih,ovaj
ne,ne
će,htjeti
trećeg,treći
u,u
umjetnosti,umjetnost
vjerujem,vjerovati
sretna,sretan
na,na
unutarstranačkim,unutarstranački
do,do
sam,biti
porasla,porasti
i,i
svoje,svoj
jednom,jednom
je,biti
troši,trošiti
te,taj
na,na
treba,trebati
do,do
prihvaćanja,prihvaćanje
i,i
radnom,radni
je,biti
dokaže,dokazati
izaći,izaći
u,u
značenja,značenje
beograd,beograd
na,na
orkestra,orkestar
niječe,nijekati
odluči,odlučiti
nadam,nadati
će,htjeti
razgovorima,razgovor
kako,kako
i,i
mjesta,mjesto
koriste,koristiti
života,život
u,u
panda,panda
možda,možda
probuđen,probuditi
za,za
kao,kao
hrvatska,hrvatska
a,a
pogađaju,pogađati
oni,onaj
aktivnu,aktivan
jednako,jednako
si,sebe
likovnih,likovni
to,taj
slobodno,slobodno
ukočenosti,ukočenost
dan,dati
analitičari,analitičar
brojevima,broj
bt,bit
nismo,biti
samo,samo
ljetnih,ljetni
postigao,postići
stari,star
odnos,odnos
bih,biti
u,u
zlih,zao
uostalom,uostalom
dvoje,dvoje
pronašla,pronaći
malo,malo
kratko,kratko
jako,jako
2009,2009
pretjerao,pretjerati
zahtjev,zahtjev
dvorištu,dvorište
travanj,travanj
dalje,daleko
rješenja,rješenje
6,6
pitanja,pitanje
i,i
muzeju,muzej
u,u
poraz,poraz
od,od
glumci,glumac
vole,voljeti
je,biti
s,s
trijom,trio
ja,ja
snage,snaga
njegovih,njegov
manchesteru,manchester
osvojila,osvojiti
umor,umor
hotelskog,hotelski
razlog,razlog
vas,vi
čega,što
u,u
djelovao,djelovati
s,sa
od,od
visokih,visok
je,biti
tako,tako
modu,mod
radi,raditi
pucaju,pucati
je,biti
bolje,dobar
na,na
tekstu,tekst
godine,godina
ne,ne
pederom,peder
dok,dok
nam,mi
svoga,svoj
sam,sam
ako,ako
tužnih,tužan
učionici,učionica
postoji,postojati
je,biti
tehnologija,tehnologija
zatražiti,zatražiti
igre,igra
i,i
i,i
potrebe,potreba
s,sa
1989,1989
osigurao,osigurati
kažu,kazati
i,i
i,i
su,biti
od,od
primjerenije,primjereno
kakvi,kakav
veliki,velik
na,na
je,biti
u,u
to,taj
mene,ja
izvješćima,izvješće
kupaca,kupac
riječ,riječ
se,sebe
izolirane,izoliran
nuspojava,nuspojava
uzgoju,uzgoj
valja,valjati
je,biti
novac,novac
čelnika,čelnik
kazao,kazati
koje,koji
europske,europski
prije,prije
talijanski,talijanski
otvorenom,otvoren
koja,koji
da,da
neki,neki
je,biti
te,te
i,i
goste,gost
i,i
društvenih,društven
sue,sue
sama,sam
objektivno,objektivno
odnosno,odnosno
sessionima,session
kuna,kuna
te,te
novi,nov
svojim,svoj
je,biti
za,za
za,za
odluku,odluka
sam,biti
koji,koji
povećavanja,povećavanje
na,na
za,za
međusobnog,međusoban
da,da
ponovno,ponovno
ukrotili,ukrotiti
uspjehu,uspjeh
tri,tri
djelovati,djelovati
sporni,sporan
pedeset,pedeset
zvati,zvati
čime,što
bao,bao
o,o
zajednički,zajednički
tom,taj
2006,2006
zadovoljavajućeg,zadovoljavajući
se,sebe
države,država
to,taj
predstavlja,predstavljati
samo,samo
potpunosti,potpunost
da,da
izravno,izravno
loptu,lopta
prosvjednika,prosvjednik
više,mnogo
međuvremenu,međuvrijeme
ulazeći,ulaziti
te,te
u,u
i,i
do,do
ulicu,ulica
su,biti
i,i
o,o
potpunosti,potpunost
čvorova,čvor
dobit,dobit
neki,neki
priopćenju,priopćenje
koji,koji
show,show
zakonom,zakon
nisu,biti
nenadana,nenadan
toliko,toliko
stručnjaka,stručnjak
biljka,biljka
vode,voditi
o,o
dočekaš,dočekati
osobina,osobina
zaustavlja,zaustavljati
promijenim,promijeniti
abombe,abomba
godine,godina
ovih,ovaj
vrhunske,vrhunski
kleče,klečati
45,45
i,i
ravnopravnih,ravnopravan
naime,naime
tvrtki,tvrtka
kada,kada
opisuje,opisivati
druge,drugi
posebnom,poseban
zahvaljujem,zahvaljivati
već,već
je,biti
niski,nizak
godinu,godina
međunarodno,međunarodno
75,75
mirovinske,mirovinski
velike,velik
znak,znak
uvjeren,uvjeren
ga,on
rekla,reći
zvanja,zvanje
dubokoga,dubok
a,a
putem,put
ban,ban
putu,put
festival,festival
se,sebe
i,i
odaslao,odaslati
je,biti
kovačić,kovačić
sam,biti
baš,baš
kočiti,kočiti
skrećete,skretati
dovoljnog,dovoljan
prostora,prostor
pjevalo,pjevati
događaja,događaj
ali,ali
novac,novac
sam,biti
rijad,rijad
i,i
unije,unija
napeto,napet
već,već
stiroporom,stiropor
frižideru,frižider
opet,opet
sam,sam
candida,candida
redovito,redovito
manje,malo
će,htjeti
njeno,njen
nisu,biti
se,sebe
seks,seks
20000,20000
želimo,željeti
kakav,kakav
vježbača,vježbač
toga,taj
već,već
su,biti
manjih,mali
tranzicija,tranzicija
stavove,stav
ogranke,ogranak
još,još
je,biti
što,što
konferencija,konferencija
uništiti,uništiti
za,za
u,u
je,biti
poslani,poslati
dnevne,dnevni
ostaviti,ostaviti
najvećem,velik
u,u
mjenjačem,mjenjač
potaknuti,potaknuti
moje,moj
glas,glas
slobodno,slobodno
pitaš,pitati
engleskog,engleski
a,a
jest,biti
sagradio,sagraditi
s,sa
praktički,praktički
od,od
tome,taj
su,biti
i,i
za,za
lako,lako
imaju,imati
smrt,smrt
malo,mali
kada,kada
udruge,udruga
platforma,platforma
stvari,stvar
na,na
15,15
arsenal,arsenal
pun,pun
za,za
poželite,poželjeti
tržišta,tržište
druženje,druženje
15,15
od,od
na,na
konstantnih,konstantan
u,u
sam,biti
jedno,jedan
da,da
veće,velik
vrijeme,vrijeme
eu,eu
bruxellesu,bruxelles
u,u
prošle,prošli
u,u
u,u
je,biti
sustava,sustav
od,od
je,biti
da,da
izvori,izvor
izvrsnu,izvrstan
arheološke,arheološki
uz,uz
to,taj
smo,biti
1959,1959
od,od
i,i
top,top
na,na
dozvolio,dozvoliti
hrvatski,hrvatski
napravljen,napraviti
osobe,osoba
interes,interes
no,no
u,u
iako,iako
puno,puno
i,i
sa,sa
nastavnici,nastavnik
što,što
ok,ok
voljan,voljan
novi,nov
zamjenika,zamjenik
padaju,padati
to,taj
koji,koji
1,1
iz,iz
koje,koji
luka,luka
studenog,studeni
radnom,radni
i,i
se,sebe
ranije,rano
odabrana,odabrati
pisma,pismo
dodiruju,dodirivati
onaj,onaj
će,htjeti
se,sebe
zajednicom,zajednica
i,i
rupe,rupa
radnih,radni
politika,politika
razini,razina
legalizacije,legalizacija
to,taj
danom,dati
iznenađujuće,iznenađujuće
pohranili,pohraniti
type,type
popusta,popust
božju,božji
interesima,interes
dinara,dinar
iznesi,iznijeti
tako,tako
i,i
za,za
ga,on
koja,koji
test,test
zbog,zbog
koje,koji
domaćin,domaćin
ovoj,ovaj
naglašava,naglašavati
tako,tako
njegova,njegov
imati,imati
2012,2012
račun,račun
u,u
domaće,domaći
neke,neki
povjerenstvo,povjerenstvo
boljitka,boljitak
mi,ja
godina,godina
kojem,koji
obiteljski,obiteljski
a,a
je,biti
i,i
je,biti
ta,taj
i,i
poznatije,poznat
vikenda,vikend
mjesto,mjesto
oštar,oštar
modernim,moderan
evanđelju,evanđelje
ohr,ohr
nisam,biti
stjecanje,stjecanje
napravi,napraviti
